Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~BalanceCar_20210328.PrjPcb|ReportField=ProjectFullPath~D:\Project\balance car\V2\Hardware\BalanceCar_20210328\BalanceCar_20210328.PrjPcb|ReportField=Title~Bill of Materials For Project [BalanceCar_20210328.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~162|ReportField=ReportTime~8:18:33 AM|ReportField=ReportDate~2/20/2025|ReportField=ReportDateTime~2/20/2025 8:18:33 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/20/2025|ReportField=CurrentTime~8:18:27 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Project\balance car\V2\Hardware\BalanceCar_20210328\1.Battery.SchDoc|ReportField=DocumentName~1.Battery.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~7/7/2021|ReportField=Organization~|ReportField=ProjectName~BalanceCar_20210328.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~BalanceCar_20210328.PrjPcb|ReportField=DataSourceFullPath~D:\Project\balance car\V2\Hardware\BalanceCar_20210328\BalanceCar_20210328.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
30|2k|Resistor, 0603, SMD|R8, R9, R10, R11|RES_0603_SMD|RES_0603_SMD|4
31|100|Resistor, 0603, SMD|R14|RES_0603_SMD|RES_0603_SMD|1
32|10M|Resistor, 0603, SMD|R15|RES_0603_SMD|RES_0603_SMD|1
33|0|Resistor, 1206, SMD|R16|RES_1206_SMD|RES_1206_SMD|1
34|0.1|Resistor, 1206, SMD|R17|RES_1206_SMD|RES_1206_SMD|1
35|750|Resistor, 0603, SMD|R19|RES_0603_SMD|RES_0603_SMD|1
36|2.5k|Resistor, 0603, SMD|R23|RES_0603_SMD|RES_0603_SMD|1
37|100k|Resistor, 0603, SMD|R25|RES_0603_SMD|RES_0603_SMD|1
38|22k|Resistor, 0603, SMD|R26|RES_0603_SMD|RES_0603_SMD|1
39|1M|Resistor, 0603, SMD|R28|RES_0603_SMD|RES_0603_SMD|1
40|15k|Resistor, 0603, SMD|R32, R33|RES_0603_SMD|RES_0603_SMD|2
41|22|Resistor, 0603, SMD|R37, R43, R45, R47, R49|RES_0603_SMD|RES_0603_SMD|5
42|SS-12F23|1路波动开关|S1|SS-12F23|SSW-1P|1
43|3x6x5|微动开关|SW1|SW SMD-3*6*4.3|SW-PB|1
44|SW-2P|2路编码开关|SW2|SW1.27 SMD-2P|SW-2P|1
45|TEST|测试点|TP1, TP2, TP3, TP4, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16|TEST 1.2|TEST|14
46|TEST TP|测试环|TP5, TP6|TEST TP1.4_BK|TEST TP|2
47|MPU-6050 QFN-24|Triple Axis Accelerometer and Gyro|U1|IC_QFN-24_4x4_NoExposedPad|MPU-6050 QFN24 4x4|1
48|1096|Undefined or Miscellaneous|U2, U5, U6|1096|1096|3
49|FS8205A TSSOP-8|Dual N-Channel Enhancement Mode Power MOSFET|U3|IC_TSSOP-8|FS8205A TSSOP-8|1
50|PT6303|Integrated Circuit|U4|SOP50P490X110-10N|PT6303|1
51|MP26123DR-LF-Z|Integrated Circuit|U7|QFN65P400X400X100-17N-D|MP26123DR-LF-Z|1
52|TPS54202DDCR|Power Supply|U8|SOT95P280X110-6N|TPS54202DDCR|1
53|STM32F401CCU6|Integrated Circuit|U9|QFN50P700X700X60-49N-D|STM32F401CCU6|1
54|TB6612FNG_O,EL_|Integrated Circuit|U10|SOP65P760X160-24N|TB6612FNG_O,EL_|1
55|WH-BLE103||U11|PCBComponent_1|WH-BLE103|1
56|8M|4脚无源晶振|X1|OSC 3225-4P|XTAL-4P|1
